Experiment,Depth,Augmentation,Accuracy,F1-Score,AUC,Parameters,Time_Minutes,Epochs
Exp1_Shallow_NoAug,shallow,none,0.6187137365341187,0.6992180049589929,0.716334192578071,822337,1.1187833189964294,2
Exp2_Shallow_LightAug,shallow,light,0.648452639579773,0.6987152921674264,0.7165582010483036,822337,1.0428419987360635,2
Exp3_Medium_NoAug,medium,none,0.9168278574943542,0.9156862745098039,0.9753123024142407,388289,1.4711089173952738,3
Exp4_Medium_LightAug,medium,light,0.9197292327880859,0.9182266009852217,0.9768450534814377,388289,1.8153152823448182,3
Exp5_Medium_MediumAug,medium,medium,0.7940038442611694,0.7984862819299905,0.8831438068906688,388289,1.4706217408180238,3
Exp6_Deep_LightAug,deep,light,0.9281914830207825,0.9277196398150401,0.9727592371927016,454081,1.837023878097534,3
Exp7_Deep_MediumAug,deep,medium,0.9277079105377197,0.9300257430376785,0.9755389999214334,454081,1.813402283191681,3
